#date=2025-05-16 15:37:28
#batch_size=32
#test_batch_size=64
#aug_batch_size=2048
#base_lr=0.1
#actual_lr=0.01875
#epochs=30
#model=CIFAR-ResNet18
#optimizer=Adam
"#scheduler=StepLR(step_size=5, gamma=0.1)"
"#alpha_list=[0.0, 0.1, 0.2, 0.3, 0.4, 0.5, 0.6, 0.7, 0.8, 0.9, 1.0]"
#num_workers=2
"#data_augment=RandomCrop, RandomHorizontalFlip, ColorJitter, Normalize"
# mixup_alpha=
# cutmix_alpha=
# randaugment_n=
# randaugment_m=
# randomerasing_p=
epoch,alpha=0.0_acc,alpha=0.1_acc,alpha=0.2_acc,alpha=0.3_acc,alpha=0.4_acc,alpha=0.5_acc,alpha=0.6_acc,alpha=0.7_acc,alpha=0.8_acc,alpha=0.9_acc,alpha=1.0_acc,alpha=0.0_loss,alpha=0.1_loss,alpha=0.2_loss,alpha=0.3_loss,alpha=0.4_loss,alpha=0.5_loss,alpha=0.6_loss,alpha=0.7_loss,alpha=0.8_loss,alpha=0.9_loss,alpha=1.0_loss
1,0.5317,0.5233,0.5143,0.5295,0.5544,0.5461,0.564,0.5341,0.553,0.5641,0.5459,2.0729,2.5002,2.1423,2.2535,2.5498,2.8027,2.3378,2.5124,1.9527,2.3532,2.2318
2,0.7014,0.6799,0.6915,0.6874,0.6597,0.6109,0.6954,0.6513,0.7054,0.6347,0.6067,2.2585,2.3064,1.9176,2.1066,2.438,1.9446,2.2797,1.7317,2.1333,2.1266,1.7381
3,0.7232,0.7275,0.7263,0.7026,0.7477,0.6753,0.7614,0.72,0.7269,0.7395,0.7338,1.9788,1.8082,1.7898,1.8808,1.9169,1.6173,1.8473,1.8469,2.1757,1.8216,1.8228
4,0.7712,0.7673,0.776,0.7389,0.7739,0.777,0.7696,0.7652,0.7801,0.7712,0.7568,2.1323,2.3314,2.015,2.021,1.9051,1.9342,2.3242,1.9111,1.8388,1.9047,1.7846
5,0.7874,0.8046,0.7826,0.7706,0.7934,0.7809,0.7878,0.7862,0.7234,0.8006,0.7815,1.5841,1.8028,1.8095,2.0843,1.9234,1.7444,2.0528,1.4296,2.0225,1.8945,2.0676
6,0.8503,0.8486,0.848,0.8507,0.8495,0.8444,0.8585,0.8511,0.8514,0.8517,0.8513,1.9615,1.8115,1.7237,1.8785,1.6585,1.7544,1.7568,1.9449,1.7879,1.9319,1.9537
7,0.8599,0.8614,0.8557,0.8587,0.8588,0.8508,0.8618,0.8552,0.8552,0.8603,0.8579,1.7945,1.5133,1.9558,1.9635,1.6746,1.75,1.8136,1.861,1.6128,1.6445,1.6222
8,0.8582,0.8648,0.8609,0.8617,0.8647,0.8555,0.863,0.8592,0.8648,0.8611,0.8561,2.0039,1.6431,1.5313,1.6439,1.6384,1.8314,1.9023,1.5373,1.7382,1.9355,1.9387
9,0.8674,0.8667,0.8618,0.8646,0.8645,0.8623,0.8665,0.8672,0.8706,0.8642,0.8603,1.8239,1.7164,1.7111,1.8721,1.7647,2.0271,1.711,1.7485,1.7027,1.3936,1.5008
10,0.8691,0.8721,0.8651,0.8631,0.8715,0.8661,0.8694,0.8648,0.8729,0.8635,0.8638,1.9833,2.0063,1.909,1.7753,1.7165,1.7147,1.8216,1.9752,1.5579,1.5642,1.8069
11,0.8712,0.874,0.8753,0.8731,0.8695,0.8705,0.8776,0.8741,0.8741,0.8707,0.8724,1.7242,1.7134,1.6359,1.4385,1.7887,1.6348,1.5659,2.1504,1.4021,1.668,1.773
12,0.8747,0.8771,0.8725,0.8725,0.8742,0.8719,0.8771,0.8743,0.8775,0.8708,0.8751,1.7379,1.7963,1.6735,1.614,1.5518,1.6542,1.4658,1.6703,1.885,1.8283,1.4233
13,0.8762,0.8764,0.8759,0.8789,0.876,0.8715,0.8774,0.874,0.8776,0.8714,0.8747,1.5469,1.6552,1.6771,1.6342,1.588,1.4927,1.7381,1.878,1.3805,1.5873,1.7362
14,0.8781,0.8766,0.8769,0.8775,0.875,0.872,0.8732,0.8741,0.8768,0.8715,0.8754,1.9273,1.5839,1.747,1.4606,1.5098,1.7327,1.5402,1.6075,1.6928,1.8319,1.7112
15,0.8756,0.875,0.8765,0.8772,0.8747,0.8723,0.8744,0.8771,0.8813,0.8721,0.878,1.3978,1.4345,1.2936,1.5493,1.6519,1.7136,1.2861,1.362,1.6327,1.3748,1.5662
16,0.8749,0.8764,0.8764,0.8682,0.8763,0.875,0.8804,0.88,0.8796,0.8764,0.877,1.6307,1.4051,1.6134,1.6841,1.594,1.8868,1.6389,1.8034,1.5922,1.2483,1.7624
17,0.8776,0.8758,0.8777,0.8774,0.8765,0.8764,0.8775,0.8751,0.8788,0.8746,0.8758,1.8932,1.4807,1.7078,1.6104,1.232,1.3798,1.5846,1.7365,1.7523,1.5966,1.5025
18,0.8765,0.8773,0.8766,0.8746,0.879,0.8748,0.8774,0.8747,0.8756,0.8751,0.8793,1.2756,1.4908,1.2713,1.6722,1.4496,1.3838,1.5266,1.4109,1.6313,1.6402,1.7565
19,0.8767,0.8805,0.8765,0.8766,0.8751,0.8779,0.88,0.8785,0.8809,0.8721,0.8779,1.7379,1.3723,1.958,1.7034,1.4914,1.5621,1.2072,1.4665,1.5104,1.455,1.3485
20,0.88,0.8787,0.8758,0.8728,0.875,0.8737,0.8808,0.875,0.8774,0.8736,0.876,1.5301,1.6509,1.3515,1.6152,1.2818,1.4405,1.5626,1.6965,1.7345,1.5333,1.7867
21,0.8785,0.8789,0.8788,0.8746,0.8763,0.8725,0.8812,0.8749,0.8782,0.8787,0.8759,1.5899,1.0904,1.4067,1.4861,1.1944,1.1818,1.3644,1.6529,1.6306,1.4708,1.6422
22,0.8776,0.8793,0.8775,0.8768,0.878,0.8736,0.8755,0.8745,0.877,0.8747,0.8791,1.216,1.3576,1.0413,1.5205,1.4533,1.344,1.0676,1.3177,1.5789,1.426,1.46
23,0.8769,0.8777,0.8766,0.8766,0.8774,0.875,0.8793,0.8764,0.8761,0.8735,0.8767,1.5445,1.2858,1.4303,1.4432,1.3098,1.1451,1.2517,1.7939,0.9337,1.4589,1.6487
24,0.8776,0.8779,0.8746,0.8783,0.875,0.8806,0.876,0.8757,0.8794,0.8722,0.8743,1.3662,1.3158,1.5548,1.3781,1.0643,1.0683,1.544,1.2583,1.3098,1.4825,1.5793
25,0.8758,0.8795,0.8733,0.8756,0.8811,0.8758,0.8765,0.8748,0.8774,0.8759,0.8809,1.3384,1.6545,1.5684,1.2735,1.3753,1.6511,1.1338,1.1921,1.2901,1.2088,1.194
26,0.8781,0.8785,0.8798,0.8781,0.8766,0.8788,0.8775,0.8758,0.8753,0.8779,0.8754,1.6603,1.3364,1.1806,1.1224,1.3789,1.247,1.1599,1.6454,1.1704,1.0039,1.3678
27,0.875,0.8754,0.8776,0.8766,0.8728,0.8726,0.8776,0.8774,0.8774,0.8758,0.8777,1.2568,1.1415,1.3295,1.4675,1.1647,1.6261,1.2302,1.1129,1.2501,1.6673,1.2523
28,0.8795,0.8786,0.8781,0.8754,0.877,0.8723,0.8787,0.8753,0.8777,0.8716,0.8743,1.1827,1.0777,1.1942,1.329,1.3987,1.2482,1.3672,1.2464,1.1007,1.0937,1.3043
29,0.8782,0.8789,0.8744,0.8743,0.8768,0.8731,0.8773,0.8779,0.8785,0.8754,0.88,1.4361,1.2798,1.2821,1.4283,1.4111,1.296,1.4875,1.3769,1.1112,0.9391,1.3008
30,0.8747,0.8783,0.8786,0.8782,0.8786,0.8777,0.8799,0.8796,0.8741,0.8703,0.877,1.1713,1.3371,1.5058,1.3083,0.9532,1.6053,1.2901,1.168,1.2508,1.1301,1.2957
